AmericanExpressCreditCardThickness,meter,The thickness of an American Express Credit Card,times the thickness of an American Express credit card,American Express credit cards stacked on top of each other,American Express credit card thicknesses,American Express credit card thickness,0.00076
AppleA4Processorlength,meter,The length of an Apple A4 Processor,times the length of an Apple A4 Processor,Apple A4 Processors placed next to each other,Apple A4 Processor lengths,Apple A4 Processor length,0.0085
McdonaldsBigMacHeight,meter,The height of a McDonalds Big Mac,times the height of a McDonalds Big Mac,McDonalds Big Macs stacked on top of each other,McDonalds Big Macs,McDonalds Big Mac,0.0762
AR15Length,meter,The length of an AR-15 Assault Rifle,times the length of an AR-15 Assault Rifle,AR-15 assault rifles,AR-15 assault rifles,AR-15 assault rifle,0.83185
GeorgeWashingtonHeight,meter,The height of George Washington,times the height of George Washington,George Washingtons lying down,George Washingtons,George Washington,1.87
BaldEagleWingspan,meter,The wingspan of a Bald Eagle,times the wingspan of a Bald Eagle,Bald Eagle wingspans,Bald Eagle wingspans,Bald Eagle wingspan,2
FordF150Length,meter,The length of a Ford F-150,times the length of a Ford F-150,Ford F-150s parked next to each other,Ford F-150s,Ford F-150,5.32
AmericanFootballField,meter,The length of a football field,times the length of a football field,football fields,football fields,football field,109.75
EmpireStateBuildingHeight,meter,The height of the Empire State Building,times the height of the Empire State Building,Empire State Buildings stacked on top of each other,Empire State Building heights,Empire State Building height,380
RhodeIslandLength,meter,The length of Rhode Island,times the length of Rhode Island,Rhode Islands lined up next to each other,Rhode Island lengths,Rhode Island length,77248.5
PennsylvaniaLength,meter,The length of Pennsylvania,times the length of Pennsylvania,Pennsylvanias lined up next to each other,Pennsylvania lengths,Pennsylvania length,455444
LengthOfTheContinguousUnitedStates,meter,The length of the contiguous United States,times the length of the contiguous United States,contiguous United States in length,contiguous United States lengths,contiguous United States length,4500000
MaximumRangeOfMinutemanICBM,meter,The maximum range of a Minuteman ICBM,times the maximum range of a Minuteman ICBM,times the maximum range of a Minuteman ICBM,maximum range of a Minuteman ICBM,maximum range of a Minuteman ICBM,13000000
TotalDistanceTravelledByUSSNimitzAircraftCarrier,meter,The total distance travelled by the USS Nimitz Aicraft Carrier,times the total distance travelled by the USS Nimitz Aircraft Carrier,times the total distance travelled by the USS Nimitz Aircraft Carrier,total distances travelled by the USS Nimitz Aircraft Carrier,total distance travelled by the USS Nimitz Aircraft Carrier,151864000
TotalDistanceTravelledByAllCrewedApolloMissionsCombined,meter,The total distance travelled by all crewed Apollo missions combined,times the total distance travelled by all crewed Apollo missions combined,times the total distance travelled by all crewed Apollo missions combined,total distances travelled by all crewed Apollo missions combined,total distance travelled by all crewed Apollo missions combined,28966781410
TotalDistanceDrivenByAmericansInAYear,meter,The total distance driven by all Americans in a year,times the total distance driven by all Americans in a year,times the total distance driven by all Americans in a year,total distances driven by all Americans in a year,total distance driven by all Americans in a year,5149900800000
OneStepOfNuclearChainReaction,second,The time it takes for one step of a nuclear chain reaction to occur,times the time it takes for one step of a nuclear chain reaction to occur,nuclear chain reaction steps,nuclear chain reaction steps,nuclear chain reaction step,0.00000001
BulletFiredByM134Minigun,second,The time it takes to fire one bullet from a M134 minigun,times the time it takes to fire one bullet from a M134 minigun,bullets fired from a M134 minigun,bullets fired from a M134 minigun,bullet fired from a M134 minigun,0.01
BulletFiredByM24SniperRifle,second,The time it takes to fire one bullet from a M24 sniper rifle,times the time it takes to fire one bullet from a M24 sniper rifle,bullets fired from a M24 sniper rifle,bullets fired from a M24 sniper rifle,bullet fired from a M24 sniper rifle,0.33333333
RoundFiredByM109PaladinHowitzer,second,The time it takes to fire one round from a M109 Paladin howitzer,times the time it takes to fire one round from a M109 Paladin howitzer,rounds fired from a M109 Paladin howitzer,rounds fired from a M109 Paladin howitzer,round fired from a M109 Paladin howitzer,10
StarSpangledBanner,second,The average duration of the Star Spangled Banner,times the average duration of the Star Spangled Banner,Star Spangled Banners,Star Spangled Banners,Star Spangled Banner,103
FourthOfJulyFireworksDisplay,second,The average length of a fourth of July fireworks display,times the average length of a fourth of July fireworks display,Fourth of July firework displays,Fourth of July firework displays,Fourth of July firework display,1200
SuperBowl,second,The average length of the Super Bowl,times the average length of the Super Bowl,Super Bowls,Super Bowls,Super Bowl,12600
AverageAmericanWorkingTimeInAWeek,second,The amount of time an average American spends working in a week,times the amount of time an average American spends working in a week,times the amount of time an average American spends working in a week,average American working time in a week,average American working time in a week,154440
TermLengthOfWilliamHenryHarrison,second,The term length of President William Henry Harrison,times the term length of President William Henry Harrison,William Henry Harrison term lengths,William Henry Harrison term lengths,William Henry Harrison term length,2637000
GulfWar,second,The duration of the Gulf War,times the duration of the Gulf War,Gulf Wars,Gulf Wars,Gulf War,18230000
RepresentativeTermLength,second,The term length of a Representative in the House of Representatives,times the term length of a Representative in the House of Representatives,House of Representatives term lengths,House of Representatives term lengths,House of Representatives term length,63120000
SenatorTermLength,second,The term length of a U.S. Senator,times the term length of a U.S. Senator,U.S. senator term lengths,U.S. senator term lengths,U.S. senator term length,189300000
RevolutionaryWar,second,The duration of the Revolutionary War,times the duration of the Revolutionary War,Revolutionary Wars,Revolutionary Wars,Revolutionary War,201230000
AgeOfUnitedStates,second,The age of the United States of America,times the age of the United States of America,times the age of the United States of America,durations of existence of the United States of Americas,duration of existence of the United States of America,7887280000
ChristopherColumbusLanding,second,The amount of time since Christopher Columbus first landed on the American continents,times the amount of time since Christopher Columbus first landed on the American continents,times the amount of time since Christopher Columbus first landed on the American continents,durations of time since the Christopher Columbus landing,duration of time since the Christopher Columbus landing,16840920000
HumansHabitAmericanContinents,second,The approximate amount of time since humans first inhabited the American continents,times the approximate amount of time since humans first inhabited the American continents,times the approximate amount of time since humans first inhabited the American continents,durations of time since humans first inhabited the American continents,duration of time since humans first inhabited the American continents,946080000000
AmericansSocialMediaTimeInAYear,second,The amount of time that all Americans combined spend on social media in a year,times the amount of time that all Americans combined spend on social media in a year,times the amount of time that all Americans combined spend on social media in a year,amount of time that all Americans combined spend on social media in a year,duration of time that all Americans combined spend on social media in a year,1023378200000000
AgentOrangeMoleculeTopologicalSurfaceArea,meterSquared,The topological surface area of an agent orange molecule,times the topological surface area of an agent orange molecule,times the topological surface area of an agent orange molecule,Agent Orange molecule topological surface areas,Agent Orange molecule topological surface area,0.000000000000000000711
AppleA4ProcessorSize,meterSquared,The area of an Apple A4 Processor,times the area of an Apple A4 Processor,times the area of an Apple A4 Processor,Apple A4 Processor surface areas,Apple A4 Processor surface area,0.000072
RhodeIslandArea,meterSquared,The area of Rhode Island,times the area of Rhode Island,times the area of Rhode Island,Rhode Island surface areas,Rhode Island surface area,2706540000
TexasArea,meterSquared,The area of Texas,times the area of Texas,times the area of Texas,Texas surface areas,Texas surface area,695660450000
UnitedStatesArea,meterSquared,The area of the United States,times the area of the United States,times the area of the United States,United States surface areas,United States surface area,9866624456000
ApproximateMassOfABaldEaglesFeather,gram,The approximate mass of a Bald Eagle's feather,times the approximate mass of a Bald Eagle's feather,Bald Eagle feathers,Bald Eagles,Bald Eagle,0.06299888888
MassOfCholestrolInAWendysDavesDoubleCheeseburger,gram,The mass of cholestrol in a Wendy's Dave's Double Cheeseburger,times the mass of cholestrol in a Wendy's Dave's Double Cheeseburger,times the mass of cholestrol in a Wendy's Dave's Double Cheeseburger,Wendy's Dave's Double Cheeseburger cholestrol masses,Wendy's Dave's Double Cheeseburger cholestrol mass,0.175
MassOfSodiumInABurgerKingBigKingXXLBurger,gram,The mass of sodium in a Burger King Big King XXL Burger,times the mass of sodium in a Burger King Big King XXL Burger,times the mass of sodium in a Burger King Big King XXL Burger,Burger King Big King XXL Burger sodium masses,Burger King Big King XXL Burger sodium mass,1.848
MassOfTotalFatInACostcoHotDog,gram,The mass of total fat in a Costco Hot Dog,times the mass of total fat in a Costco Hot Dog,times the mass of total fat in a Costco Hot Dog,Costco Hot Dog total fat masses,Costco Hot Dog total fat mass,33
MassOfABaseball,gram,The mass of a baseball,times the mass of a baseball,baseballs,baseballs,baseball,145.25
MassOfABaldEagle,gram,The mass of a Bald Eagle,times the mass of a Bald Eagle,Bald Eagles,Bald Eagles,Bald Eagle,4309.13
MassOfAM107HighExplosiveArtilleryShell,gram,The mass of a M107 High Explosive Artillery Shell,times the mass of a M107 High Explosive Artillery Shell,M107 High Explosive Artillery Shells,M107 High Explosive Artillery Shells,M107 High Explosive Artillery Shell,43200
MassOfACybertruck,gram,The mass of a Cybertruck,times the mass of a Cybertruck,Cybertrucks,Cybertrucks,Cybertruck,3020925
MassOfAM1AbramsMainBattleTank,gram,The mass of a M1 Abrams Main Battle Tank,times the mass of a M1 Abrams Main Battle Tank,M1 Abrams Main Battle Tanks,M1 Abrams Main Battle Tanks,M1 Abrams Main Battle Tank,55000000
MassOfABoeing747-400,gram,The mass of a Boeing 747-400,times the mass of a Boeing 747-400,Boeing 747-400 planes,Boeing 747-400 planes,Boeing 747-400 plane,187000000
GrossMassOfSaturnVRocket,gram,The mass of a Saturn V Rocket,times the mass of a Saturn V Rocket,Saturn V Rockets,Saturn V Rockets,Saturn V Rocket,3038500000
MassOfUSSTheodoreRooseveltAircraftCarrier,gram,The mass of the USS Theodore Roosevelt Aircraft Carrier,times the mass of the USS Theodore Roosevelt Aircraft Carrier,USS Theodore Roosevelt Aircraft Carriers,USS Theodore Roosevelt Aircraft Carriers,USS Theodore Roosevelt Aircraft Carrier,106278500000
MassOfTheEmpireStateBuilding,gram,The mass of the Trump International Hotel and Tower,times the mass of the Trump International Hotel and Tower,Trump International Hotel and Tower masses,Trump International Hotel and Tower masses,Trump International Hotel and Tower mass,360000000000
TotalMassOfAllSchoolBusesInTheUS,gram,The mass of all of the School Buses in the United States,times the mass of all of the School Buses in the United States,times the mass of all of the School Buses in the United States,Total masses of U.S. School buses,Total mass of U.S. School buses,6640592296800
TotalMassOfBuildingsInNewYorkCity,gram,The mass of all of the buildings in New York City,times the mass of all of the buildings in New York City,times the mass of all of the buildings in New York City,Total New York City building masses,Total New York City building mass,764000000000000
GolfBallVolume,liter,The volume of a golf ball,times the volume of a golf ball,golf balls,golf balls,golf ball,0.04
