Unit Name,SI Unit Measuring the same thing,How many SI units in one unit,Number of American Units in one SI Unit,Source
Approximate Mass of a Bald Eagle's Feather,grams,6.30E-02,1.59E+01,https://quoguewildliferefuge.org/qwr-blog/creature-feature-bald-eagle/
Mass of Cholestrol in a Wendy's Dave's Double Cheeseburger,grams,1.75E-01,5.71E+00,https://fastfoodnutrition.org/wendys/daves-double-cheeseburger
Mass of Sodium in a Burger King's Big King XXL Burger,grams,1.85E+00,5.41E-01,https://burgerking.com.mt/wp-content/uploads/2021/04/BK_NutritionalInfo_2021-A3.pdf
Mass of Total Fat in a Costco Hot Dog,grams,3.30E+01,3.03E-02,https://www.calorieking.com/us/en/foods/f/calories-in-sandwiches-burgers-ks-hot-dog/-vmGHjUcS6Oge9oymEY1Dw
Mass of a Baseball,grams,1.45E+02,6.88E-03,"https://baseballmode.com/blogs/blog/baseball-weigh#:~:text=a%20major%20league,inches%20in%20circumference."
Mass of a Bald Eagle,grams,4.31E+03,2.32E-04,https://ferrybluffeaglecouncil.org/wp-content/uploads/2017/12/Bald-Eagle-Facts-Figures.pdf
Mass of a M107 High Explosive Artillery Shell,grams,4.32E+04,2.31E-05,https://www.gdots.com/wp-content/uploads/2017/11/155mm-M107-HE_US.pdf
Mass of a Cybertruck,grams,3.02E+06,3.31E-07,https://www.motortrend.com/features/2024-tesla-cybertruck-dual-motor-foundation-series-first-test-review
Mass of a M1 Abrams Main Battle Tank,grams,5.50E+07,1.82E-08,"https://www.fdmuseum.org/exhibit/m1-abrams-tank/#:~:text=Weight%3A%2055%20Tons,"
Mass of a Boeing 747-400,grams,1.87E+08,5.35E-09,https://blackjet.com/post/how-much-does-a-747-weigh
Gross mass of Saturn V Rocket,grams,3.04E+09,3.29E-10,http://www.astronautix.com/s/saturnv.html
Mass of USS Theodore Roosevelt Aircraft Carrier,grams,1.06E+11,9.41E-12,https://archive.org/details/navalinstitutegu0018polm/page/n5/mode/2up
Mass of the Trump International Hotel and Tower,grams,3.60E+11,2.78E-12,https://global.ctbuh.org/resources/papers/download/29-case-study-trump-international-hotel-tower.pdf
Total mass of all school buses in the U.S.,grams,6.64E+12,1.51E-13,"https://phoenixtransportationsf.com/how-much-does-a-bus-weigh/ 
https://www.nysbca.com/fastfacts"
Total mass of buildings in New York City,grams,7.64E+14,1.31E-15,https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2022EF003465
Golf Ball Volume,liter,4.06E-02,2.46E+01,https://www.golfsidekick.com/balls/golf-ball-size/
Small coca-cola can,liter,2.22E-01,4.51E+00,https://www.coca-cola.com/us/en/brands/coca-cola/products/original
American Football volume,liter,4.50E+00,2.22E-01,https://ibmathsresources.com/2019/10/19/finding-the-volume-of-a-rugby-ball-or-american-football/
Volume of a KFC Bucket,liter,5.03E+00,1.99E-01,https://www.kimecopak.ca/blogs/news/best-chicken-bucket-size
Volume of a 1A9 (B48) Amazon Box,liter,2.72E+01,3.67E-02,https://www.boxdimensions.com/
Trunk Space of a BMW 2021 X1 SUV,liter,1.21E+03,8.23E-04,https://www.bmwofescondido.com/bmw-trunk-space-comparison/
Habitable Space inside Orion Capsule,liter,9.34E+03,1.07E-04,https://www.nasa.gov/humans-in-space/life-encapsulated-inside-nasas-orion-for-artemis-ii-moon-mission/
American School bus,liter,4.80E+04,2.08E-05,https://stnonline.com/blogs/students-need-school-bus-air-as-clean-as-in-their-classroom/
Volume of a Trident II D-5 Submarine-launched ballistic missile,liter,1.88E+05,5.33E-06,https://nuclearcompanion.com/data/trident-ii-d-5-missile/
Lockheed C-5 Galaxy Payload volume,liter,9.60E+05,1.04E-06,https://simpleflying.com/lockheed-c-5-galaxy-largest-us-military-transport-constructed/
Volume of an Ohio-class submarine,liter,1.91E+07,5.24E-08,"https://www.atomicarchive.com/almanac/forces/ohio-class.html 
https://conversion.org/volume/ton-water/litre"
Volume of NASA's Vehicle Assembly Building,liter,3.66E+09,2.73E-10,https://web.archive.org/web/20080207082440/http://science.ksc.nasa.gov/facilities/vab.html
Total volume of all Americans,liter,2.25E+10,4.44E-11,https://www.macrotrends.net/global-metrics/countries/usa/united-states/population
Total volume of Venezuelan oil reserves,liter,4.82E+13,2.08E-14,https://www.worldometers.info/oil/oil-reserves-by-country/
Total volume of oil reserves in the Middle East,liter,1.31E+14,7.62E-15,https://ncusar.org/blog/2013/03/basic-facts-about-oil-and-gas-in-the-arab-world/#gsc.tab=0
Total volume of water in Alaska Glaciers,liter,1.68E+16,5.96E-17,"https://www.antarcticglaciers.org/glaciers-and-climate/glacier-recession/changing-alaska/ 
https://www.antarcticglaciers.org/glaciers-and-climate/estimating-glacier-contribution-to-sea-level-rise/ "
Thickness of an American Express Credit Card,meter,7.60E-04,1.32E+03,https://silkcards.com/blog/news/what-are-the-dimensions-of-a-credit-card-thickness-size/
Apple A4 Processor length,meter,8.50E-03,1.18E+02,https://web.archive.org/web/20130915010243/http://www.electronics-eetimes.com/en/analysis-gives-first-look-inside-apple-s-a4-processor.html?cmp_id=7&news_id=222901800
Mcdonalds Big Mac Height,meter,7.62E-02,1.31E+01,https://www.buzzfeed.com/kristatorres/mcdonalds-big-mac-vs-burger-kings-whopper-we-found-out-what
AR-15 Length,meter,8.32E-01,1.20E+00,https://www.gunbuilders.com/blog/ar-15-size-gun-case-sizing-guide/
George Washington Height,meter,1.87E+00,5.35E-01,https://www.nist.gov/pml/owm/presidents-and-measurements
Bald Eagle Wingspan,meter,2.00E+00,5.00E-01,https://www.nwf.org/Educational-Resources/Wildlife-Guide/Birds/Bald-Eagle
Ford F-150 Length,meter,5.32E+00,1.88E-01,https://www.jclewisford.com/2025-ford-f-150-dimensions-exterior-bed-passenger
American Football Field,meter,1.10E+02,9.11E-03,https://www.dimensions.com/element/american-football-field
Empire State Building Height,meter,3.80E+02,2.63E-03,https://www.esbnyc.com/about/facts-figures
Rhode Island Length,meter,7.72E+04,1.29E-05,https://www.history.com/articles/rhode-island
Pennsylvania Length,meter,4.55E+05,2.20E-06,https://www.netstate.com/states/geography/pa_geography.htm
Length of the Continguous United States,meter,4.50E+06,2.22E-07,https://www.worldatlas.com/maps/united-states
Maximum range of Minuteman ICBM,meter,1.30E+07,7.69E-08,https://missilethreat.csis.org/missile/minuteman-iii/
Total distance travelled by USS Nimitz Aircraft Carrier,meter,1.52E+08,6.58E-09,https://www.navytimes.com/news/your-navy/2025/12/17/uss-nimitz-returns-home-for-likely-last-time-before-retirement/
Total distance travelled by all crewed Apollo missions combined,meter,2.90E+10,3.45E-11,https://www.britannica.com/story/timeline-of-the-apollo-space-missions
Total distance driven by Americans in a year,meter,5.15E+12,1.94E-13,https://get.goautoinsurance.com/blog/the-american-drivers-footprint-an-in-depth-look-at-u-s-annual-mileage/
Topological Surface Area of an Agent Orange Molecule,meters squared,7.11E-19,1.41E+18,https://pubchem.ncbi.nlm.nih.gov/compound/Agent-Orange#section=Computed-Properties
Apple A4 Processer size,meters squared,7.20E-05,1.39E+04,https://web.archive.org/web/20130915010243/http://www.electronics-eetimes.com/en/analysis-gives-first-look-inside-apple-s-a4-processor.html?cmp_id=7&news_id=222901800
Rhode Island Area,meters squared,2.71E+09,3.69E-10,https://www.ri.gov/facts/history.php
Texas Area,meters squared,6.96E+11,1.44E-12,https://www.thestoryoftexas.com/resources/texas-facts/
United States Area,meters squared,9.87E+12,1.01E-13,https://data.census.gov/profile/United_States?g=010XX00US
Time it takes for one step of a nuclear chain reaction,seconds,1.00E-08,1.00E+08,https://www.wordgenius.com/its-about-time-learn-more-about-a-jiffy-a-shake-and-a-whale-of-a-time/Ys2CPQQMEAAGRb6r
Time it takes for the M134 minigun to fire one bullet,seconds,1.00E-02,1.00E+02,https://www.military.com/equipment/m134-gau-17-gatling-gun
Time it takes for the M24 Sniper Rifle to fire one bullet,seconds,3.33E-01,3.00E+00,https://www.part-time-commander.com/army-m24-sniper-weapon-system-top-8-cool-facts/
Time it takes for the M109 Paladin Howitzer to fire one round,seconds,1.00E+01,1.00E-01,https://www.military.com/equipment/m109-paladin
Average Duration of the Star Spangled Banner during the Super Bowl,seconds,1.03E+02,9.71E-03,https://audiophix.com/posts/average-length-national-anthem-super-bowl-surprise-you
Average Duration of a 4th of July Fireworks Display,seconds,1.20E+03,8.33E-04,https://woodstock.recdesk.com/RecDeskPortal/Portals/770/Fun%20Fireworks%20Facts!.pdf
Average length of the Super Bowl,seconds,1.26E+04,7.94E-05,https://www.tickpick.com/blog/how-long-is-the-super-bowl/
Time an Average American spends working in a week,seconds,1.54E+05,6.48E-06,https://www.gallup.com/workplace/658235/why-americans-working-less.aspx
Term length of President William Henry Harrison,seconds,2.64E+06,3.79E-07,https://www.nps.gov/people/william-henry-harrison.htm
Duration of the Gulf War,seconds,1.82E+07,5.49E-08,https://www.history.navy.mil/our-collections/art/exhibits/conflicts-and-operations/the-gulf-war-1990-1991--operation-desert-shield--desert-storm-.html
Term length of a Representative in the House,seconds,6.31E+07,1.58E-08,https://walberg.house.gov/about/how-congress-works
Term length of a Senator in the Senate,seconds,1.89E+08,5.28E-09,https://walberg.house.gov/about/how-congress-works
Duration of the American Revolutionary War,seconds,2.01E+08,4.97E-09,https://www.nps.gov/subjects/americanrevolution/timeline.htm
Age of the United States,seconds,7.89E+09,1.27E-10,https://www.archives.gov/milestone-documents/declaration-of-independence
Time since Christopher Columbus first reached the American continents,seconds,1.68E+10,5.94E-11,https://www.history.com/this-day-in-history/october-12/columbus-reaches-the-new-world
Time since humans first arrived on the American continents,seconds,9.46E+11,1.06E-12,https://www.ox.ac.uk/news/2020-07-22-earliest-americans-arrived-new-world-30000-years-ago
Total time Americans spend on Social Media in a year,seconds,1.02E+15,9.77E-16,"https://www.demandsage.com/average-time-spent-on-social-media/
https://www.macrotrends.net/global-metrics/countries/usa/united-states/population"
